lapStartTime,lapEndTime,minDist [km],FU3_L_at_min,AC6A_L_at_min
2018-07-28 01:20:00,2018-07-28 01:23:00,139.21853673,-14.9821461871,17.8139956917
2018-07-28 02:09:00,2018-07-28 02:11:00,365.611609892,-1e+31,22.5720612028
2018-07-30 10:19:00,2018-07-30 10:22:00,175.005993995,-1e+31,-1e+31
2018-07-30 11:08:00,2018-07-30 11:09:00,415.603815197,-1e+31,-1e+31
2018-08-01 19:18:00,2018-08-01 19:21:00,112.848904563,8.27909339923,-8.18727895355
2018-08-01 20:07:00,2018-08-01 20:07:00,450.726886667,-1e+31,-1e+31
2018-08-04 04:16:00,2018-08-04 04:19:00,112.870149596,-1e+31,-1e+31
2018-08-06 13:15:00,2018-08-06 13:18:00,98.8246424877,-1e+31,-1e+31
2018-08-08 22:13:00,2018-08-08 22:16:00,53.3085944236,7.95616066819,-8.47629745176
2018-08-11 06:25:00,2018-08-11 06:25:00,483.552232245,-1e+31,-1e+31
2018-08-11 07:12:00,2018-08-11 07:15:00,102.565175919,-1e+31,-1e+31
2018-08-13 15:23:00,2018-08-13 15:24:00,410.383949188,-1e+31,-1e+31
2018-08-13 16:11:00,2018-08-13 16:13:00,80.1921983798,-10.0850751342,10.672961843
2018-08-16 00:21:00,2018-08-16 00:23:00,308.509419422,32.2143445964,-1e+31
2018-08-16 01:09:00,2018-08-16 01:12:00,182.545702709,-13.12543153,10.4497011581
2018-08-18 09:19:00,2018-08-18 09:21:00,218.28472711,-1e+31,-1e+31
2018-08-18 10:08:00,2018-08-18 10:10:00,222.306274852,-1e+31,-1e+31
2018-08-20 18:17:00,2018-08-20 18:20:00,131.714120584,-1e+31,-1e+31
2018-08-20 19:06:00,2018-08-20 19:08:00,324.420881766,-8.05442085625,8.00047475198
2018-08-23 03:16:00,2018-08-23 03:18:00,39.4482809863,-1e+31,-48.6848359581
2018-08-23 04:05:00,2018-08-23 04:06:00,408.71384374,-1e+31,-40.2485084795
2018-08-25 12:14:00,2018-08-25 12:17:00,184.002533894,-1e+31,-1e+31
2018-08-27 21:13:00,2018-08-27 21:15:00,252.961008857,-45.3453093791,32.1592407616
2018-08-30 05:24:00,2018-08-30 05:25:00,409.519919177,51.5579643484,-1e+31
2018-08-30 06:12:00,2018-08-30 06:13:00,399.614999899,-1e+31,51.2262536818
