lapStartTime,lapEndTime,minDist [km],FU4_L_at_min,AC6A_L_at_min
2018-07-27 15:34:00,2018-07-27 15:37:00,103.076849292,-11.0825922702,-11.1108477109
2018-07-27 16:23:00,2018-07-27 16:24:00,415.102859851,-1e+31,-1e+31
2018-07-30 00:33:00,2018-07-30 00:36:00,116.580375764,10.417080338,10.3761850203
2018-07-30 01:22:00,2018-07-30 01:23:00,462.454776137,-1e+31,15.9820444477
2018-08-01 09:31:00,2018-08-01 09:34:00,44.2062335957,-1e+31,-1e+31
2018-08-03 18:30:00,2018-08-03 18:33:00,109.662210148,-7.89431076983,8.52201880398
2018-08-06 03:29:00,2018-08-06 03:32:00,33.490885137,-36.5803333696,36.077761253
2018-08-08 11:40:00,2018-08-08 11:40:00,485.640755156,-1e+31,-1e+31
2018-08-08 12:27:00,2018-08-08 12:30:00,100.523692965,-1e+31,-1e+31
2018-08-10 20:38:00,2018-08-10 20:39:00,400.765026882,-1e+31,-1e+31
2018-08-10 21:26:00,2018-08-10 21:29:00,123.576281349,7.72887344631,7.45177741378
2018-08-13 05:36:00,2018-08-13 05:38:00,308.57515519,-1e+31,-1e+31
2018-08-13 06:25:00,2018-08-13 06:27:00,186.200078714,-1e+31,-1e+31
2018-08-15 14:35:00,2018-08-15 14:37:00,229.253163137,-1e+31,-1e+31
2018-08-15 15:23:00,2018-08-15 15:25:00,252.678126064,11.4563534633,-12.634164603
2018-08-17 23:33:00,2018-08-17 23:35:00,104.64911902,31.5623753466,38.9576328735
2018-08-18 00:22:00,2018-08-18 00:24:00,334.581376158,-11.7393586485,-10.5983779708
2018-08-20 08:31:00,2018-08-20 08:34:00,140.989458677,-1e+31,-1e+31
2018-08-20 09:21:00,2018-08-20 09:22:00,419.123995742,-1e+31,-1e+31
2018-08-22 17:30:00,2018-08-22 17:32:00,123.708387173,-1e+31,-1e+31
2018-08-25 02:28:00,2018-08-25 02:30:00,264.561874988,-41.6813828209,19.5349933206
2018-08-27 10:40:00,2018-08-27 10:41:00,428.92719904,-1e+31,-1e+31
2018-08-27 11:27:00,2018-08-27 11:28:00,374.246755197,-1e+31,-1e+31
2018-08-29 19:38:00,2018-08-29 19:40:00,305.573808978,-7.66561859806,8.12448891028
