lapStartTime,lapEndTime,minDist [km]
2018-04-11 12:52:00,2018-04-11 13:11:00,33.7964289233
2018-04-11 13:44:00,2018-04-11 13:50:00,458.835196366
2018-04-13 21:55:00,2018-04-13 22:09:00,286.200305906
2018-04-13 22:41:00,2018-04-13 22:55:00,186.514022391
2018-04-16 07:42:00,2018-04-16 07:56:00,75.7881900154
2018-04-18 16:44:00,2018-04-18 16:54:00,326.170607793
2018-04-18 17:30:00,2018-04-18 17:41:00,317.023109682
2018-04-21 02:29:00,2018-04-21 02:42:00,44.9175775199
2018-04-23 11:29:00,2018-04-23 11:40:00,234.436090967
2018-04-23 12:17:00,2018-04-23 12:24:00,389.402682983
2018-04-25 20:33:00,2018-04-25 20:35:00,489.530246757
2018-04-25 21:16:00,2018-04-25 21:26:00,176.703673121
2018-04-28 06:15:00,2018-04-28 06:26:00,39.8472179719
2018-04-28 07:08:00,2018-04-28 07:10:00,478.14702196
2018-04-30 15:16:00,2018-04-30 15:25:00,217.253499716
2018-04-30 16:04:00,2018-04-30 16:13:00,251.748148081
2018-05-03 00:17:00,2018-05-03 00:22:00,399.887522429
2018-05-03 01:02:00,2018-05-03 01:12:00,48.9548073745
2018-05-05 10:02:00,2018-05-05 10:11:00,163.819445076
2018-05-07 19:02:00,2018-05-07 19:09:00,341.370665229
2018-05-07 19:51:00,2018-05-07 19:53:00,475.056032396
2018-05-10 04:48:00,2018-05-10 04:55:00,330.985953998
2018-05-12 13:47:00,2018-05-12 13:54:00,196.4862855
2018-05-14 22:46:00,2018-05-14 22:54:00,74.3338812442
2018-05-14 23:36:00,2018-05-14 23:40:00,423.77396123
2018-05-17 07:45:00,2018-05-17 07:52:00,60.3292940975
2018-05-17 08:34:00,2018-05-17 08:40:00,305.296943328
2018-05-19 16:44:00,2018-05-19 16:51:00,159.754001552
2018-05-19 17:33:00,2018-05-19 17:39:00,202.862551713
2018-05-22 01:44:00,2018-05-22 01:50:00,254.284048211
2018-05-22 02:31:00,2018-05-22 02:38:00,118.275613676
2018-05-24 10:43:00,2018-05-24 10:48:00,336.502904955
2018-05-24 11:30:00,2018-05-24 11:37:00,63.5803981503
2018-05-26 19:43:00,2018-05-26 19:46:00,405.285766181
2018-05-26 20:29:00,2018-05-26 20:36:00,64.6512995866
2018-05-29 04:42:00,2018-05-29 04:44:00,464.726795584
2018-05-29 05:28:00,2018-05-29 05:34:00,60.9229493711
2018-05-31 14:27:00,2018-05-31 14:33:00,76.7962548629
2018-06-02 23:26:00,2018-06-02 23:31:00,101.588486264
2018-06-05 08:25:00,2018-06-05 08:30:00,95.2196663595
2018-06-07 17:23:00,2018-06-07 17:29:00,65.5409094038
2018-06-10 02:22:00,2018-06-10 02:27:00,85.0908637502
